Price,Type
7.00000,BUY
7.00500,BUY
7.01000,BUY
7.01500,BUY
7.02000,BUY
7.02500,BUY
7.03000,BUY
7.03500,BUY
7.04000,BUY
7.04500,BUY
7.05000,BUY
7.05500,BUY
7.06000,BUY
7.06500,BUY
7.07000,BUY
7.07500,BUY
7.08000,BUY
7.08500,BUY
7.09000,BUY
7.09500,BUY
7.10000,BUY
7.10500,BUY
7.11000,BUY
7.11500,BUY
7.12000,BUY
7.12500,BUY
7.13000,BUY
7.13500,BUY
7.14000,BUY
7.14500,BUY
7.15000,BUY
7.15500,BUY
7.16000,BUY
7.16500,BUY
7.17000,BUY
7.17500,BUY
7.18000,BUY
7.18500,BUY
7.19000,BUY
7.19500,BUY
7.20000,BUY
7.20500,BUY
7.21000,BUY
7.21500,BUY
7.22000,BUY
7.22500,BUY
7.23000,BUY
7.23500,BUY
7.24000,BUY
7.24500,BUY
7.25000,BUY
7.25500,BUY
7.26000,BUY
7.26500,BUY
7.27000,BUY
7.27500,BUY
7.28000,BUY
7.28500,BUY
7.29000,BUY
7.29500,BUY
7.30000,BUY
7.30500,BUY
7.31000,BUY
7.31500,BUY
7.32000,BUY
7.32500,BUY
7.33000,BUY
7.33500,BUY
7.34000,BUY
7.34500,BUY
7.35000,BUY
7.35500,BUY
7.36000,BUY
7.36500,BUY
7.37000,BUY
7.37500,BUY
7.38000,BUY
7.38500,BUY
7.39000,BUY
7.39500,BUY
7.40000,BUY
7.40500,BUY
7.41000,BUY
7.41500,BUY
7.42000,BUY
7.42500,BUY
7.43000,BUY
7.43500,BUY
7.44000,BUY
7.44500,BUY
7.45000,BUY
7.45500,BUY
7.46000,BUY
7.46500,BUY
7.47000,BUY
7.47500,BUY
7.48000,BUY
7.48500,BUY
7.49000,BUY
7.49500,BUY
7.50000,BUY
7.50500,BUY
7.51000,BUY
7.51500,BUY
7.52000,BUY
7.52500,BUY
7.53000,BUY
7.53500,BUY
7.54000,BUY
7.54500,BUY
7.55000,BUY
7.55500,BUY
7.56000,BUY
7.56500,BUY
7.57000,BUY
7.57500,BUY
7.58000,BUY
7.58500,BUY
7.59000,BUY
7.59500,BUY
7.60000,BUY
7.60500,BUY
7.61000,BUY
7.61500,BUY
7.62000,BUY
7.62500,BUY
7.63000,BUY
7.63500,BUY
7.64000,BUY
7.64500,BUY
7.65000,BUY
7.65500,BUY
7.66000,BUY
7.66500,BUY
7.67000,BUY
7.67500,BUY
7.68000,BUY
7.68500,BUY
7.69000,BUY
7.69500,BUY
7.70000,BUY
7.70500,BUY
7.71000,BUY
7.71500,BUY
7.72000,BUY
7.72500,BUY
7.73000,BUY
7.73500,BUY
7.74000,BUY
7.74500,BUY
7.75000,BUY
7.75500,BUY
7.76000,BUY
7.76500,BUY
7.77000,BUY
7.77500,BUY
7.78000,BUY
7.78500,BUY
7.79000,BUY
7.79500,BUY
7.80000,BUY
7.80500,BUY
7.81000,BUY
7.81500,BUY
7.82000,BUY
7.82500,BUY
7.83000,BUY
7.83500,BUY
7.84000,BUY
8.60300,SELL
8.59800,SELL
8.59300,SELL
8.58800,SELL
8.58300,SELL
8.57800,SELL
8.57300,SELL
8.56800,SELL
8.56300,SELL
8.55800,SELL
8.55300,SELL
8.54800,SELL
8.54300,SELL
8.53800,SELL
8.53300,SELL
8.52800,SELL
8.52300,SELL
8.51800,SELL
8.51300,SELL
8.50800,SELL
8.50300,SELL
8.49800,SELL
8.49300,SELL
8.48800,SELL
8.48300,SELL
8.47800,SELL
8.47300,SELL
8.46800,SELL
8.46300,SELL
8.45800,SELL
8.45300,SELL
8.44800,SELL
8.44300,SELL
8.43800,SELL
8.43300,SELL
8.42800,SELL
8.42300,SELL
8.41800,SELL
8.41300,SELL
8.40800,SELL
8.40300,SELL
8.39800,SELL
8.39300,SELL
8.38800,SELL
8.38300,SELL
8.37800,SELL
8.37300,SELL
8.36800,SELL
8.36300,SELL
8.35800,SELL
8.35300,SELL
8.34800,SELL
8.34300,SELL
8.33800,SELL
8.33300,SELL
8.32800,SELL
8.32300,SELL
8.31800,SELL
8.31300,SELL
8.30800,SELL
8.30300,SELL
8.29800,SELL
8.29300,SELL
8.28800,SELL
8.28300,SELL
8.27800,SELL
8.27300,SELL
8.26800,SELL
8.26300,SELL
8.25800,SELL
8.25300,SELL
8.24800,SELL
8.24300,SELL
8.23800,SELL
8.23300,SELL
8.22800,SELL
8.22300,SELL
8.21800,SELL
8.21300,SELL
8.20800,SELL
8.20300,SELL
8.19800,SELL
8.19300,SELL
8.18800,SELL
8.18300,SELL
8.17800,SELL
8.17300,SELL
8.16800,SELL
8.16300,SELL
8.15800,SELL
8.15300,SELL
8.14800,SELL
8.14300,SELL
8.13800,SELL
8.13300,SELL
8.12800,SELL
8.12300,SELL
8.11800,SELL
8.11300,SELL
8.10800,SELL
8.10300,SELL
8.09800,SELL
8.09300,SELL
8.08800,SELL
8.08300,SELL
8.07800,SELL
8.07300,SELL
8.06800,SELL
8.06300,SELL
8.05800,SELL
8.05300,SELL
8.04800,SELL
8.04300,SELL
8.03800,SELL
8.03300,SELL
8.02800,SELL
8.02300,SELL
8.01800,SELL
8.01300,SELL
8.00800,SELL
8.00300,SELL
7.99800,SELL
7.99300,SELL
7.98800,SELL
7.98300,SELL
7.97800,SELL
7.97300,SELL
7.96800,SELL
7.96300,SELL
7.95800,SELL
7.95300,SELL
7.94800,SELL
7.94300,SELL
7.93800,SELL
7.93300,SELL
7.92800,SELL
7.92300,SELL
7.91800,SELL
7.91300,SELL
7.90800,SELL
7.90300,SELL
7.89800,SELL
7.89300,SELL
7.88800,SELL
